"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","516651","Sister Catherine Donnelly Catholic School","Catholic","Not applicable","Elementary","English","JK-8","123 Hanmer St E","Barrie","Barrie","L4M6W2","305",44.4196,-79.7044,0,100,0,0,30,0,93,93,82,91,89,83,NA,NA,NA,15,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","685145","St Angela Merici Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","109 West Park Ave","Bradford-West Gwillimbury","Bradford","L3Z3H9","715",44.10112,-79.5867,14,99,1,1,24,1,78,68,63,84,86,51,NA,NA,NA,14,8,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","770655","St Ann's Separate School","Catholic","Not applicable","Elementary","English","JK-8","5 Dunlop St","Penetanguishene","Penetanguishene","L9M1J2","160",44.7732,-79.9208,0,100,0,0,45,0,44,62,31,62,75,12,NA,NA,NA,20,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","775061","St Antoine Daniel Catholic School","Catholic","Not applicable","Elementary","English","JK-8","460 Park St","Tay","Victoria Harbour","L0K2A0","280",44.7464,-79.7613,0,100,0,0,50,0,61,46,36,64,58,28,NA,NA,NA,15,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","777935","St Bernadette Elementary School","Catholic","Not applicable","Elementary","English","JK-8","101 Marsellus Dr","Barrie","Barrie","L4N8R6","340",44.33273,-79.7218,10,95,0,5,20,0,53,53,36,84,78,34,NA,NA,NA,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","779849","St Bernard's Separate School","Catholic","Not applicable","Elementary","English","JK-8","255 Oxford St","Orillia","Orillia","L3V1H6","210",44.60126,-79.3956,0,100,0,0,45,0,65,52,35,83,38,4,NA,NA,NA,35,15,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","781487","St Catherine of Siena School","Catholic","Not applicable","Elementary","English","JK-8","111 Summerset Dr","Barrie","Barrie","L4N0A6","530",44.3572,-79.724,6,100,3,4,20,1,77,75,60,72,72,35,NA,NA,NA,9,4,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","782130","St Charles School","Catholic","Not applicable","Elementary","English","JK-8","691 Simcoe Road","Bradford-West Gwillimbury","Bradford","L3Z4B4","185",44.09327,-79.5667,20,100,5,5,25,0,86,76,71,90,90,29,NA,NA,NA,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","786691","St Dominic Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","955 Cedar Lane","Bracebridge","Bracebridge","P1L0A1","190",45.048,-79.2958,5,100,0,0,50,0,NA,NA,NA,NA,NA,NA,90,62,69,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","790044","St Francis of Assisi Elementary School","Catholic","Not applicable","Elementary","English","JK-8","1067 Anna Maria Ave","Innisfil","Innisfil","L9S1W2","450",44.3035,-79.5513,0,100,0,0,20,0,53,47,28,67,64,26,NA,NA,NA,15,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","798436","St James Separate School","Catholic","Not applicable","Elementary","English","JK-8","7332 St James Lane","Adjala-Tosorontio","Tottenham","L0G1W0","235",44.0269,-79.848,0,100,5,0,20,0,81,78,78,93,93,59,NA,NA,NA,10,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","809179","St Jean de Brebeuf Separate School","Catholic","Not applicable","Elementary","English","JK-8","151 Miller Park Ave","Bradford-West Gwillimbury","Bradford","L3Z2K3","220",44.1089,-79.5748,10,100,5,5,30,0,70,80,55,80,85,30,NA,NA,NA,10,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","801275","St Joan of Arc High School","Catholic","Not applicable","Secondary","English","9-12","460 Mapleton Ave","Barrie","Barrie","L4N9C2","1080",44.3498,-79.7334,4,99,2,2,24,1,NA,NA,NA,NA,NA,NA,75,29,71,9,3,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","805840","St John Vianney Separate School","Catholic","Not applicable","Elementary","English","JK-8","393 Innisfil St","Barrie","Barrie","L4N3G7","220",44.3671,-79.6915,5,100,0,5,55,0,78,70,52,77,64,36,NA,NA,NA,20,20,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","813389","St Joseph's Separate School","Catholic","Not applicable","Secondary","English","9-12","243 Cundles Rd E","Barrie","Barrie","L4M6L1","795",44.41307,-79.6839,3,100,1,1,24,1,NA,NA,NA,NA,NA,NA,72,26,78,13,9,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","822566","St Marguerite d'Youville Elementary School","Catholic","Not applicable","Elementary","English","JK-8","87 Hanmer Street","Barrie","Barrie","L4N7H6","290",44.4122,-79.7182,0,100,0,0,30,0,78,67,50,80,72,32,NA,NA,NA,30,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","829374","St Marys Separate School","Catholic","Not applicable","Elementary","English","JK-8","18 Saunders Street","Collingwood","Collingwood","L9Y0G2","455",44.4812,-80.2227,5,100,0,0,20,0,67,65,49,80,70,37,NA,NA,NA,15,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","828335","St Marys Separate School","Catholic","Not applicable","Elementary","English","JK-8","340 Leacock Drive","Barrie","Barrie","L4N6J8","170",44.3863,-79.7195,5,100,5,0,35,0,79,79,58,62,62,38,NA,NA,NA,30,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","833061","St Michael the Archangel Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","349 Big Bay Point Rd","Barrie","Barrie","L4N8A2","320",44.35372,-79.6598,5,100,0,5,35,0,75,68,59,75,78,30,NA,NA,NA,15,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","835749","St Monicas Separate School","Catholic","Not applicable","Elementary","English","JK-8","90 Steel St","Barrie","Barrie","L4M2E9","375",44.4026,-79.6659,10,100,5,0,30,0,71,65,35,80,78,32,NA,NA,NA,20,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","836320","St Nicholas School","Catholic","Not applicable","Elementary","English","JK-8","100 Lougheed Rd","Barrie","Barrie","L4N8E1","250",44.3225,-79.7288,10,100,0,0,30,0,61,50,50,81,74,35,NA,NA,NA,10,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","837199","St Noel Chabanel Catholic Elementary School","Catholic","Not applicable","Elementary","English","JK-8","425 Ramblewood Dr","Wasaga Beach","Wasaga Beach","L9Z1P3","445",44.4619,-80.091,0,100,0,0,25,0,37,39,20,56,54,17,NA,NA,NA,20,10,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","840815","St Paul's Separate School","Catholic","Not applicable","Elementary","English","JK-8","100 James A Mccague Avenue","New Tecumseth","Alliston","L9R0G5","675",44.16496,-79.8685,2,99,1,1,25,0,78,81,65,81,79,22,NA,NA,NA,11,2,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","843342","St Peter the Apostle School","Catholic","Not applicable","Elementary","English","JK-8","15 Silver Birch Court","Parry Sound","Parry Sound","P2A0A8","190",45.35919,-80.0199,0,100,0,5,35,0,42,26,26,38,44,6,NA,NA,NA,20,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","844012","St Peter's Secondary School","Catholic","Not applicable","Secondary","English","9-12","201 Ashford Dr","Barrie","Barrie","L4N6A3","1240",44.3549,-79.6398,4,99,1,1,20,0,NA,NA,NA,NA,NA,NA,74,37,75,10,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","852775","St Theresa's Separate School","Catholic","Not applicable","Secondary","English","9-12","347 Galloway Blvd","Midland","Midland","L4R5B2","1000",44.7397,-79.8707,1,100,0,0,28,1,NA,NA,NA,NA,NA,NA,77,35,71,12,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","773050","St Thomas Aquinas Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","2 Nolan Rd","New Tecumseth","Tottenham","L0G1W0","635",44.0351,-79.8087,3,100,1,1,27,0,NA,NA,NA,NA,NA,NA,66,44,74,7,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","750905","St. John Paul II Separate School","Catholic","Not applicable","Elementary","English","JK-8","211 Ashford Dr","Barrie","Barrie","L4N6A3","385",44.3563,-79.6397,0,100,0,0,35,0,58,61,56,81,77,33,NA,NA,NA,10,0,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","824690","St. Marie of the Incarnation Separate School","Catholic","Not applicable","Elementary","English","JK-8","105 Colborne St","Bradford-West Gwillimbury","Bradford","L3Z1C4","650",44.1193,-79.5609,7,100,3,3,26,0,64,58,46,87,84,52,NA,NA,NA,13,7,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","733199","St. Teresa of Calcutta Catholic School","Catholic","Not applicable","Elementary","English","JK-8","110 Northgate Dr","Bradford-West Gwillimbury","Bradford","L3Z2Z7","410",44.12,-79.5748,15,100,5,0,20,0,82,87,50,89,89,71,NA,NA,NA,10,5,NA
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)","868914","The Good Shepherd Catholic School","Catholic","Not applicable","Elementary","English","JK-8","23 Cloughley Dr","Barrie","Barrie","L4N7Y3","430",44.3914,-79.7399,0,100,0,0,30,0,88,62,52,83,89,56,NA,NA,NA,10,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","697567","Christ the King Catholic School","Catholic","Not applicable","Elementary","English","JK-8","227 Thomas Ave","Chatham-Kent","Wallaceburg","N8A2B9","180",42.59912,-82.3702,0,100,0,0,10,0,78,50,72,79,79,14,NA,NA,NA,20,5,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","708003","Georges P Vanier Catholic School","Catholic","Not applicable","Elementary","English","JK-8","20 Cecile Ave","Chatham-Kent","Chatham","N7M2C3","250",42.38871,-82.1685,0,100,0,0,25,0,84,97,94,92,68,52,NA,NA,NA,10,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","842249","Good Shepherd Catholic School","Catholic","Not applicable","Elementary","English","JK-8","4 Edith St","Chatham-Kent","Thamesville","N0P2K0","100",42.55719,-81.9771,0,100,0,0,15,0,NA,NA,NA,73,82,36,NA,NA,NA,20,20,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","710970","Gregory A Hogan Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1825 Hogan Dr","Sarnia","Sarnia","N7S6G9","490",43.0109,-82.3598,5,100,0,0,10,0,74,67,54,90,87,37,NA,NA,NA,10,5,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","715492","Holy Family Catholic School","Catholic","Not applicable","Elementary","English","JK-8","649 Murray St","Chatham-Kent","Wallaceburg","N8A1W1","225",42.58495,-82.3795,0,100,0,0,20,0,78,78,72,91,83,48,NA,NA,NA,35,15,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","719269","Holy Rosary Catholic School","Catholic","Not applicable","Elementary","English","JK-8","715 London St","Plympton-Wyoming","Wyoming","N0N1T0","85",42.95506,-82.1202,0,100,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","767339","Holy Trinity Catholic School","Catholic","Not applicable","Elementary","English","JK-8","60 Lorne Cr","Sarnia","Sarnia","N7S0C3","425",42.9693,-82.3724,0,100,0,5,20,0,62,64,36,70,68,38,NA,NA,NA,25,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","724009","Monsignor Uyen Catholic School","Catholic","Not applicable","Elementary","English","JK-8","255 Lark St","Chatham-Kent","Chatham","N7L1G9","330",42.40093,-82.2143,5,100,0,0,10,0,67,67,67,96,96,62,NA,NA,NA,20,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","743984","Our Lady of Fatima Catholic School","Catholic","Not applicable","Elementary","English","JK-8","545 Baldoon Rd","Chatham-Kent","Chatham","N7L5A9","345",42.41017,-82.2206,0,100,0,0,15,0,91,88,69,90,86,38,NA,NA,NA,20,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","758108","Sacred Heart Catholic School","Catholic","Not applicable","Elementary","English","JK-8","434 John St","St. Clair","Port Lambton","N0P2B0","120",42.6577,-82.5,0,100,0,0,15,0,91,64,64,86,71,29,NA,NA,NA,10,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","757748","Sacred Heart Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1411 Lecaron Ave","Sarnia","Sarnia","N7V3J1","350",43.00614,-82.3901,0,100,0,0,20,0,71,83,69,83,87,47,NA,NA,NA,10,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","765155","St Agnes Catholic School","Catholic","Not applicable","Elementary","English","JK-8",NA,NA,NA,NA,"110",NA,NA,5,100,0,0,20,0,50,40,40,91,91,64,NA,NA,NA,30,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","771295","St Anne Catholic School","Catholic","Not applicable","Elementary","English","JK-8","183 Snow Ave","Chatham-Kent","Blenheim","N0P1A0","350",42.32822,-81.9938,0,100,0,0,20,0,63,54,39,76,79,42,NA,NA,NA,15,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","770671","St Anne Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1000 The Rapids Pkwy","Sarnia","Sarnia","N7S6K3","325",42.9956,-82.3505,0,100,0,0,10,0,76,80,72,83,89,58,NA,NA,NA,0,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","788813","St Elizabeth Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1350 Bertha St","Chatham-Kent","Wallaceburg","N8A3K4","165",42.59725,-82.4,0,100,0,0,25,0,60,80,73,85,85,50,NA,NA,NA,20,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","803375","St John Fisher Catholic School","Catholic","Not applicable","Elementary","English","JK-8","44 Main St","Lambton Shores","Forest","N0N1J0","250",43.1016,-82.0005,0,100,0,0,10,0,79,63,68,90,86,59,NA,NA,NA,15,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","846929","St Joseph Catholic School","Catholic","Not applicable","Elementary","English","JK-8",NA,NA,NA,NA,"95",NA,NA,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","811432","St Joseph Catholic School","Catholic","Not applicable","Elementary","English","JK-8","43 St Clair St","Chatham-Kent","Tilbury","N0P2L0","150",42.2594,-82.4391,0,95,0,0,30,0,81,75,81,80,93,60,NA,NA,NA,10,20,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","809233","St Joseph Catholic School","Catholic","Not applicable","Elementary","English","JK-8","535 Birchbank Drive","Sarnia","Corunna","N0N1G0","355",42.8763,-82.4371,0,100,0,0,20,0,77,80,59,86,83,39,NA,NA,NA,10,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","834602","St Michael Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1930 Wildwood Dr","Sarnia","Bright's Grove","N0N1C0","185",43.02866,-82.2625,0,100,5,0,15,0,NA,NA,NA,80,84,36,NA,NA,NA,0,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","833142","St Michael Catholic School","Catholic","Not applicable","Elementary","English","JK-8","25 Maple St S","Chatham-Kent","Ridgetown","N0P2C0","165",42.4331,-81.8896,0,100,0,0,20,0,74,68,53,81,86,19,NA,NA,NA,25,5,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","836788","St Patrick's Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","1001 The Rapids Pkwy","Sarnia","Sarnia","N7S6K2","1345",42.9949,-82.3515,0,100,1,1,28,0,NA,NA,NA,NA,NA,NA,82,45,78,11,2,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","843415","St Peter Canisius Catholic School","Catholic","Not applicable","Elementary","English","JK-8","424 Victoria St","Warwick","Watford","N0M2S0","205",42.9526,-81.8831,0,100,0,0,20,0,96,83,62,95,100,73,NA,NA,NA,20,0,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","846015","St Philip Catholic School","Catholic","Not applicable","Elementary","English","JK-8","420 Queen St","Petrolia","Petrolia","N0N1R0","190",42.88067,-82.1507,0,100,0,0,10,0,96,81,62,86,62,43,NA,NA,NA,10,5,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","856800","St Ursula Catholic School","Catholic","Not applicable","Elementary","English","JK-8","426 Lacroix St","Chatham-Kent","Chatham","N7M2W3","230",42.38929,-82.1791,5,100,0,0,20,0,64,64,40,97,93,70,NA,NA,NA,20,5,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","857971","St Vincent Catholic","Catholic","Not applicable","Elementary","English","JK-8",NA,NA,NA,NA,"170",NA,NA,5,100,0,0,20,0,90,86,76,65,65,25,NA,NA,NA,10,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","773757","St. Matthew Catholic School","Catholic","Not applicable","Elementary","English","JK-8","720 Elm Ave","Sarnia","Sarnia","N7T4H3","335",42.97229,-82.3819,0,100,0,5,30,0,69,47,39,76,61,24,NA,NA,NA,40,10,NA
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)","864366","Ursuline College (The Pines) Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","85 Grand Ave W","Chatham-Kent","Chatham","N7L1B6","1225",42.40662,-82.1941,2,100,1,1,27,0,NA,NA,NA,NA,NA,NA,87,63,74,14,8,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","689351","Bishop Alexander Carter Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","539 Francis Street","Greater Sudbury","Hanmer","P3P1E6","330",46.65692,-80.9674,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,76,67,63,10,0,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","869673","Holy Cross Catholic School School","Catholic","Not applicable","Elementary","English","JK-6","2997 ALGONQUIN RD","Greater Sudbury","SUDBURY","P3E4X5","395",46.43375,-80.9826,5,100,0,5,15,0,73,65,42,93,95,60,NA,NA,NA,10,5,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","701745","Holy Trinity School","Catholic","Not applicable","Elementary","English","JK-6","1945 Hawthorne Drive","Greater Sudbury","Sudbury","P3A0C1","535",46.516,-80.927,5,100,3,3,12,0,61,58,26,89,84,33,NA,NA,NA,22,4,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","721212","Immaculate Conception Catholic School","Catholic","Not applicable","Elementary","English","JK-6","1748 Pierre Street","Greater Sudbury","Val Caron","P3N1C5","200",46.61219,-81.0127,0,100,0,0,10,0,85,70,41,83,83,54,NA,NA,NA,5,0,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","730963","Marymount Academy Catholic School","Catholic","Not applicable","Secondary","English","9-12","165 D'Youville Street","Greater Sudbury","Sudbury","P3C5E7","240",46.49652,-80.9948,5,100,0,0,15,0,NA,NA,NA,NA,NA,NA,84,NA,93,10,0,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","730971","Marymount Elementary Academy","Catholic","Not applicable","Elementary","English","7-8","165 D'Youville Street","Greater Sudbury","Sudbury","P3C5E7","145",46.49652,-80.9948,0,100,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","750336","Pius XII Catholic School","Catholic","Not applicable","Elementary","English","JK-8","44 Third Avenue","Greater Sudbury","Sudbury","P3B3P8","205",46.49141,-80.9293,0,100,0,0,20,0,83,80,67,62,56,6,NA,NA,NA,25,5,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","770744","St Anne Separate School","Catholic","Not applicable","Elementary","English","JK-8","4500 St Michel Street","Greater Sudbury","Hanmer","P3P1M8","375",46.65218,-80.934,0,100,0,0,20,0,75,68,50,68,65,19,NA,NA,NA,10,5,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","777196","St Benedict Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","2993 Algonquin Road","Greater Sudbury","Sudbury","P3E6K2","520",46.43514,-80.9845,3,99,1,1,20,0,NA,NA,NA,NA,NA,NA,95,68,88,9,3,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","782181","St Charles Catholic School","Catholic","Not applicable","Elementary","English","JK-8","26 Charlotte Street","Greater Sudbury","Chelmsford","P0M1L0","365",46.58218,-81.1897,5,95,0,0,15,0,71,69,50,91,91,45,NA,NA,NA,10,5,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","783358","St Charles College","Catholic","Not applicable","Secondary","English","9-12","1940 Hawthorne Drive","Greater Sudbury","Sudbury","P3A1M8","825",46.51773,-80.9268,3,99,2,2,28,0,NA,NA,NA,NA,NA,NA,78,61,78,15,2,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","785954","St David Catholic School","Catholic","Not applicable","Elementary","English","JK-8","549 Frood Road","Greater Sudbury","Sudbury","P3C5A2","250",46.50262,-81.008,5,95,0,0,30,0,62,56,28,65,84,19,NA,NA,NA,50,15,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","791075","St Francis Catholic School","Catholic","Not applicable","Elementary","English","JK-6","691 Lilac Street","Greater Sudbury","Sudbury","P3E4E2","295",46.47762,-81.0134,0,95,0,0,25,0,72,69,34,61,63,35,NA,NA,NA,25,5,NA
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)","798878","St James","Catholic","Not applicable","Elementary","English","JK-8","280 Anderson Drive","Greater Sudbury","Lively","P3Y1M8","295",46.43064,-81.1485,0,100,0,0,10,0,81,72,75,84,81,23,NA,NA,NA,0,0,NA
